Volatility 3 Framework 2.27.0

PID	Process	Args
4608	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS
4668	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Winmgmt
4748	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s SstpSvc
4760	svchost.exe	C:\WINDOWS\system32\svchost.exe -k imgsvc
4772	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks
4864	MsMpEng.exe	"C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2010.7-0\MsMpEng.exe"
4872	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s WpnService
4904	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s LanmanServer
5084	svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetSvcs -p -s iphlpsvc
5104	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalService -p -s WdiServiceHost
5140	IntelCpHeciSvc	C:\WINDOWS\System32\DriverStore\FileRepository\64gh6299.inf_amd64_94401bd29769cd59\IntelCpHeciSvc.exe
5340	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs
1404	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s fdPHost
5928	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s FDResPub
5896	NisSrv.exe	"C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2010.7-0\NisSrv.exe"
6864	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc
6636	svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s DoSvc
7080	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s StorSvc
6468	sihost.exe	sihost.exe
7064	svchost.exe	C:\WINDOWS\system32\svchost.exe -k BthAppGroup -p -s BluetoothUserService
7052	svchost.exe	C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc
6532	svchost.exe	C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService
6700	taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
7180	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s TokenBroker
7404	userinit.exe	-
7444	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s CDPSvc
7464	explorer.exe	C:\WINDOWS\Explorer.EXE
7504	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc
7856	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s NgcSvc
7912	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s NgcCtnrSvc
8028	svchost.exe	C:\WINDOWS\System32\svchost.exe -k UnistackSvcGroup
8156	GoogleCrashHan	"C:\Program Files (x86)\Google\Update\1.3.36.32\GoogleCrashHandler.exe"
8164	GoogleCrashHan	"C:\Program Files (x86)\Google\Update\1.3.36.32\GoogleCrashHandler64.exe"
8384	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Appinfo
8620	svchost.exe	C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc
8748	dllhost.exe	C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}
8800	crashpad_handl	"C:\Program Files\Google\Drive File Stream\43.0.8.0\crashpad_handler.exe" --database=C:\Users\fredr\AppData\Local\Google\DriveFS\Crashpad --url=https://clients2.google.com/cr/report --annotation=application=Explorer.EXE --annotation=prod=DriveFS --annotation=ver=43.0.8.0 --initial-client-data=0x1074,0x10b0,0x10b8,0x10b4,0x10bc,0x7fff284b0010,0x7fff284b0020,0x7fff284b0030
8872	SearchIndexer.	-
9108	StartMenuExper	"C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca
9188	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
8312	SearchApp.exe	"C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca
8436	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
4940	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalService -p -s LicenseManager
9708	SettingSyncHos	C:\WINDOWS\system32\SettingSyncHost.exe -Embedding
9788	LockApp.exe	"C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe" -ServerName:WindowsDefaultLockScreen.AppX7y4nbzq37zn4ks9k7amqjywdat7d3j2z.mca
9836	svchost.exe	-
9964	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
10800	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p
11108	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
7128	SecurityHealth	"C:\Windows\System32\SecurityHealthSystray.exe" 
8728	SecurityHealth	C:\WINDOWS\system32\SecurityHealthService.exe
9648	OneDrive.exe	"C:\Users\fredr\AppData\Local\Microsoft\OneDrive\OneDrive.exe" /background
6188	OneDrive.exe	"C:\Users\fredr\AppData\Local\Microsoft\OneDrive\OneDrive.exe" /client=Personal /background
11420	ShellExperienc	"C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca
11540	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
11672	Teams.exe	"C:\Users\fredr\AppData\Local\Microsoft\Teams\current\Teams.exe" --system-initiated
11816	googledrivesyn	"C:\Program Files\Google\Drive\googledrivesync.exe" /autostart
12020	GoogleDriveFS.	"C:\Program Files\Google\Drive File Stream\43.0.8.0\GoogleDriveFS.exe" 
12040	crashpad_handl	-
12204	Teams.exe	"C:\Users\fredr\AppData\Local\Microsoft\Teams\current\Teams.exe" --type=gpu-process --enable-features=SharedArrayBuffer --disable-features=SpareRendererForSitePerProcess --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --service-request-channel-token=12696732006286603461 --mojo-platform-channel-handle=1812 --ignored=" --type=renderer " /prefetch:2
10512	Teams.exe	-
11972	Teams.exe	"C:\Users\fredr\AppData\Local\Microsoft\Teams\current\Teams.exe" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --enable-features=SharedArrayBuffer --disable-features=SpareRendererForSitePerProcess --service-pipe-token=11609972985762144690 --lang=en-US --app-user-model-id=com.squirrel.Teams.Teams --app-path="C:\Users\fredr\AppData\Local\Microsoft\Teams\current\resources\app.asar" --user-agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Teams/1.3.00.26064 Chrome/69.0.3497.128 Electron/4.2.12 Safari/537.36" --node-integration=false --webview-tag=false --no-sandbox --preload="C:\Users\fredr\AppData\Local\Microsoft\Teams\current\resources\app.asar\lib\renderer\notifications\preload_notifications.js" --disable-remote-module --background-color=#fff --electron-shared-settings=[REDACTED_OAUTH_TOKEN]== --device-scale-factor=2 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=11609972985762144690 --renderer-client-id=8 --mojo-platform-channel-handle=2868 /prefetch:1 --msteams-process-type=notificationsManager
12756	iCloudServices	"C:\Program Files\WindowsApps\AppleInc.iCloud_11.4.12.0_x86__nzyj5cx40ttqa\iCloud\iCloudServices.exe" 
13160	Teams.exe	"C:\Users\fredr\AppData\Local\Microsoft\Teams\current\Teams.exe" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --enable-features=SharedArrayBuffer --disable-features=SpareRendererForSitePerProcess --service-pipe-token=17462658186431093377 --lang=en-US --app-user-model-id=com.squirrel.Teams.Teams --app-path="C:\Users\fredr\AppData\Local\Microsoft\Teams\current\resources\app.asar" --user-agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Teams/1.3.00.26064 Chrome/69.0.3497.128 Electron/4.2.12 Safari/537.36" --node-integration=false --webview-tag=true --no-sandbox --preload="C:\Users\fredr\AppData\Local\Microsoft\Teams\current\resources\app.asar\lib\renderer\preload.js" --disable-remote-module --background-color=#fff --electron-shared-settings=[REDACTED_OAUTH_TOKEN]== --device-scale-factor=2 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=17462658186431093377 --renderer-client-id=9 --mojo-platform-channel-handle=4128 /prefetch:1 --msteams-process-type=mainWindow
13224	APSDaemon.exe	"C:\Program Files\WindowsApps\AppleInc.iCloud_11.4.12.0_x86__nzyj5cx40ttqa\iCloud\APSDaemon.exe" -Embedding
13260	iCloudDrive.ex	"C:\Program Files\WindowsApps\AppleInc.iCloud_11.4.12.0_x86__nzyj5cx40ttqa\iCloud\iCloudDrive.exe" 
12532	iCloudPhotos.e	"C:\Program Files\WindowsApps\AppleInc.iCloud_11.4.12.0_x86__nzyj5cx40ttqa\iCloud\iCloudPhotos.exe" 
12888	ApplePhotoStre	"C:\Program Files\WindowsApps\AppleInc.iCloud_11.4.12.0_x86__nzyj5cx40ttqa\iCloud\ApplePhotoStreams.exe" 
1536	secd.exe	C:\Program Files\WindowsApps\AppleInc.iCloud_11.4.12.0_x86__nzyj5cx40ttqa\iCloud\secd.exe -Embedding
1152	Slack.exe	"C:\Program Files\WindowsApps\91750D7E.Slack_4.10.3.0_x64__8she8kybcnzg4\app\Slack.exe" 
5532	chrome.exe	-
10136	Cortana.exe	"C:\Program Files\WindowsApps\Microsoft.549981C3F5F10_2.2010.22653.0_x64__8wekyb3d8bbwe\Cortana.exe" -ServerName:App.AppX2y379sjp88wjq1y80217mddj3fargf2y.mca
13524	Teams.exe	-
14016	Slack.exe	"C:\Program Files\WindowsApps\91750D7E.Slack_4.10.3.0_x64__8she8kybcnzg4\app\Slack.exe" --type=gpu-process --field-trial-handle=1800,2595559897263752851,18356817183530779776,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --gpu-preferences=MAAAAAAAAADgAAAwAAAAAAAAAAAAAAAAAABgAAAAAAAQAAAAAAAAAAAAAAAAAAAAKAAAAAQAAAAgAAAAAAAAACgAAAAAAAAAMAAAAAAAAAA4AAAAAAAAABAAAAAAAAAAAAAAAAUAAAAQAAAAAAAAAAAAAAAGAAAAEAAAAAAAAAABAAAABQAAABAAAAAAAAAAAQAAAAYAAAA= --mojo-platform-channel-handle=1764 /prefetch:2
14284	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
14028	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
12808	Slack.exe	"C:\Program Files\WindowsApps\91750D7E.Slack_4.10.3.0_x64__8she8kybcnzg4\app\Slack.exe" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1800,2595559897263752851,18356817183530779776,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --lang=en-US --service-sandbox-type=network --standard-schemes=slack-webapp-dev --secure-schemes=slack-webapp-dev --bypasscsp-schemes=slack-webapp-dev --cors-schemes=slack-webapp-dev --fetch-schemes=slack-webapp-dev --service-worker-schemes=slack-webapp-dev --mojo-platform-channel-handle=2228 /prefetch:8
14720	Teams.exe	"C:\Users\fredr\AppData\Local\Microsoft\Teams\current\Teams.exe" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --enable-features=SharedArrayBuffer --disable-features=SpareRendererForSitePerProcess --service-pipe-token=5078050764079326664 --lang=en-US --app-user-model-id=com.squirrel.Teams.Teams --app-path="C:\Users\fredr\AppData\Local\Microsoft\Teams\current\resources\app.asar" --user-agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Teams/1.3.00.26064 Chrome/69.0.3497.128 Electron/4.2.12 Safari/537.36" --node-integration=false --webview-tag=true --enable-sandbox --native-window-open --preload="C:\Users\fredr\AppData\Local\Microsoft\Teams\current\resources\app.asar\lib\renderer\experienceRenderer\preload_webview_sandbox.js" --disable-remote-module --background-color=#fff --guest-instance-id=5 --enable-blink-features --disable-blink-features --hidden-page --electron-shared-settings=[REDACTED_OAUTH_TOKEN]== --device-scale-factor=2 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=5078050764079326664 --renderer-client-id=11 --mojo-platform-channel-handle=4020 /prefetch:1 --msteams-process-type=experience-renderer
14912	svchost.exe	C:\WINDOWS\system32\svchost.exe -k AarSvcGroup -p -s AarSvc
15052	Slack.exe	"C:\Program Files\WindowsApps\91750D7E.Slack_4.10.3.0_x64__8she8kybcnzg4\app\Slack.exe" --type=crashpad-handler --user-data-dir=C:\Users\fredr\AppData\Roaming\Slack /prefetch:7 --no-rate-limit --no-upload-gzip --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\fredr\AppData\Roaming\Slack\Crashpad --url=https://slack.com/apps/breakpad?instanceUid=2dba9de3-c7b2-54ff-a9a0-3fc30a001c3c&version=4.10.3&channel=prod "--annotation=_companyName=Slack Technologies" --annotation=_productName=Slack --annotation=_version=4.10.3 --annotation=prod=Electron --annotation=ver=10.1.2 --initial-client-data=0xa0c,0xa10,0xa14,0xa08,0xa18,0x7ff6b02b8c70,0x7ff6b02b8c80,0x7ff6b02b8c90
15460	Slack.exe	"C:\Program Files\WindowsApps\91750D7E.Slack_4.10.3.0_x64__8she8kybcnzg4\app\Slack.exe" --type=renderer --autoplay-policy=no-user-gesture-required --force-color-profile=srgb --field-trial-handle=1800,2595559897263752851,18356817183530779776,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --lang=en-US --standard-schemes=slack-webapp-dev --secure-schemes=slack-webapp-dev --bypasscsp-schemes=slack-webapp-dev --cors-schemes=slack-webapp-dev --fetch-schemes=slack-webapp-dev --service-worker-schemes=slack-webapp-dev --app-user-model-id=electron.app.Slack --app-path="C:\Program Files\WindowsApps\91750D7E.Slack_4.10.3.0_x64__8she8kybcnzg4\app\resources\app.asar" --enable-sandbox --native-window-open --preload="C:\Program Files\WindowsApps\91750D7E.Slack_4.10.3.0_x64__8she8kybcnzg4\app\resources\app.asar\dist\preload.bundle.js" --context-isolation --background-color=#FFFFFF --enable-blink-features=EventTiming --enable-spellcheck --enable-websql --disable-electron-site-instance-overrides --device-scale-factor=2 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=4 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=2696 /prefetch:1 --window-type=main
15636	Teams.exe	"C:\Users\fredr\AppData\Local\Microsoft\Teams\current\Teams.exe" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --enable-features=SharedArrayBuffer --disable-features=SpareRendererForSitePerProcess --service-pipe-token=17128317405833351520 --lang=en-US --app-user-model-id=com.squirrel.Teams.Teams --app-path="C:\Users\fredr\AppData\Local\Microsoft\Teams\current\resources\app.asar" --user-agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Teams/1.3.00.26064 Chrome/69.0.3497.128 Electron/4.2.12 Safari/537.36" --node-integration=false --webview-tag=false --no-sandbox --preload="C:\Users\fredr\AppData\Local\Microsoft\Teams\current\resources\app.asar\lib\pluginhost\preload.js" --disable-remote-module --background-color=#fff --electron-shared-settings=[REDACTED_OAUTH_TOKEN]== --device-scale-factor=2 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=17128317405833351520 --renderer-client-id=13 --mojo-platform-channel-handle=4980 /prefetch:1 --msteams-process-type=pluginHost
16320	SpeechRuntime.	C:\Windows\System32\Speech_OneCore\Common\SpeechRuntime.exe -Embedding
15112	Teams.exe	-
16544	Teams.exe	-
16864	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UsoSvc
17268	Win32Bridge.Se	-
15840	FileCoAuth.exe	C:\Users\fredr\AppData\Local\Microsoft\OneDrive\20.169.0823.0008\FileCoAuth.exe -Embedding
8432	googledrivesyn	"C:\Program Files\Google\Drive\googledrivesync.exe" /autostart
14852	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s WebClient
18720	SgrmBroker.exe	C:\WINDOWS\system32\SgrmBroker.exe
18600	SurfaceService	C:\WINDOWS\system32\SurfaceService.exe
15504	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc
18932	dllhost.exe	C:\WINDOWS\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}
9236	ApplicationFra	C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding
1004	svchost.exe	-
16408	HxTsr.exe	-
4384	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s lfsvc
7400	Teams.exe	-
9312	Teams.exe	-
16332	Teams.exe	-
18280	Teams.exe	-
18008	Teams.exe	-
12332	Video.UI.exe	"C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.20092.11911.0_x64__8wekyb3d8bbwe\Video.UI.exe" -ServerName:Microsoft.ZuneVideo.AppX758ya5sqdjd98rx6z7g95nw6jy7bqx9y.mca
3980	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
10580	Teams.exe	-
16328	Teams.exe	-
14752	Teams.exe	-
7156	Teams.exe	-
2024	Teams.exe	-
14448	Teams.exe	-
13996	Teams.exe	-
4928	Teams.exe	-
4204	Teams.exe	-
9060	Teams.exe	-
18596	Teams.exe	-
17376	Teams.exe	-
13500	Teams.exe	-
4480	Teams.exe	-
5608	Teams.exe	-
17484	Teams.exe	-
19124	Teams.exe	-
4004	Teams.exe	-
2396	Teams.exe	-
7748	Teams.exe	-
6944	Teams.exe	-
18916	Teams.exe	-
12004	Teams.exe	-
10832	Teams.exe	-
15156	Teams.exe	-
1680	Teams.exe	-
4784	Teams.exe	-
17612	Teams.exe	-
9660	Teams.exe	-
18212	Teams.exe	-
11800	Teams.exe	-
6192	Teams.exe	-
12340	HxTsr.exe	-
16032	Teams.exe	-
17424	Teams.exe	-
3652	Teams.exe	-
17100	Teams.exe	-
1860	Teams.exe	-
12308	Teams.exe	-
17916	Teams.exe	-
17616	Teams.exe	-
7220	Teams.exe	-
16144	Teams.exe	-
6748	Teams.exe	-
8332	Teams.exe	-
