Volatility 3 Framework 2.27.0

Offset	Order	PID	Start	State	Type	Name	Display	Binary	Binary (Registry)	Dll
0x1a892c628b0	403	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	rdpbus	Remote Desktop Device Redirector Bus Driver	\Driver\rdpbus	\SystemRoot\System32\drivers\rdpbus.sys	-
0x1a892c62c40	402	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	rdbss	Redirected Buffering Sub System	\FileSystem\rdbss	system32\DRIVERS\rdbss.sys	-
0x1a892c62190	401	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	RasSstp	WAN Miniport (SSTP)	\Driver\RasSstp	\SystemRoot\System32\drivers\rassstp.sys	-
0x1a892c63e10	400	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	RasPppoe	Remote Access PPPOE Driver	\Driver\RasPppoe	\SystemRoot\System32\drivers\raspppoe.sys	-
0x1a892c62650	399	5340	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	RasMan	Remote Access Connection Manager	C:\WINDOWS\System32\svchost.exe -k netsvcs	%SystemRoot%\System32\svchost.exe -k netsvcs	%SystemRoot%\System32\rasmans.dll
0x1a892c699b0	398	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	Rasl2tp	WAN Miniport (L2TP)	\Driver\Rasl2tp	\SystemRoot\System32\drivers\rasl2tp.sys	-
0x1a892c63f40	397	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	RasAuto	Remote Access Auto Connection Manager	N/A	%SystemRoot%\System32\svchost.exe -k netsvcs -p	%SystemRoot%\System32\rasauto.dll
0x1a892c68220	396	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	RasAgileVpn	WAN Miniport (IKEv2)	\Driver\RasAgileVpn	\SystemRoot\System32\drivers\AgileVpn.sys	-
0x1a892c642d0	395	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	RasAcd	Remote Access Auto Connection Driver	N/A	System32\DRIVERS\rasacd.sys	-
0x1a892c623f0	394	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	Ramdisk	Windows RAM Disk Driver	N/A	system32\DRIVERS\ramdisk.sys	-
0x1a892c63820	393	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	QWAVEdrv	QWAVE driver	N/A	\SystemRoot\system32\drivers\qwavedrv.sys	-
0x1a892c63a80	392	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	QWAVE	Quality Windows Audio Video Experience	N/A	%windir%\system32\svchost.exe -k LocalServiceAndNoImpersonation -p	%windir%\system32\qwave.dll
0x1a892c68790	391	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	PushToInstall	Windows PushToInstall Service	N/A	%SystemRoot%\System32\svchost.exe -k netsvcs -p	%SystemRoot%\system32\PushToInstall.dll
0x1a892c68d00	390	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	Psched	QoS Packet Scheduler	\Driver\Psched	System32\drivers\pacer.sys	-
0x1a892c622c0	389	2008	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	ProfSvc	User Profile Service	C:\WINDOWS\system32\svchost.exe -k netsvcs -p	%systemroot%\system32\svchost.exe -k netsvcs -p	%systemroot%\system32\profsvc.dll
0x1a892c69d50	388	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	Processor	Processor Driver	N/A	\SystemRoot\System32\drivers\processr.sys	-
0x1a892c636f0	387	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	PrintWorkflowUserSvc	PrintWorkflow	N/A	%SystemRoot%\system32\svchost.exe -k PrintWorkflow	%SystemRoot%\System32\PrintWorkflowService.dll
0x1a892c690a0	386	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS|SERVICE_INTERACTIVE_PROCESS	PrintNotify	Printer Extensions and Notifications	N/A	%SystemRoot%\system32\svchost.exe -k print	C:\WINDOWS\system32\spool\drivers\x64\3\PrintConfig.dll
0x1a892c60960	385	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	PptpMiniport	WAN Miniport (PPTP)	\Driver\PptpMiniport	\SystemRoot\System32\drivers\raspptp.sys	-
0x1a892c62780	384	740	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	Power	Power	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p	%SystemRoot%\system32\svchost.exe -k DcomLaunch -p	%SystemRoot%\system32\umpo.dll
0x1a892c61d50	383	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	portcfg	portcfg	N/A	\SystemRoot\System32\drivers\portcfg.sys	-
0x1a892c62520	382	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	PolicyAgent	IPsec Policy Agent	N/A	%SystemRoot%\system32\svchost.exe -k NetworkServiceNetworkRestricted -p	%SystemRoot%\System32\ipsecsvc.dll
0x1a892c617e0	381	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	PNRPsvc	Peer Name Resolution Protocol	N/A	%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet	-
0x1a892c60d00	380	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	PNRPAutoReg	PNRP Machine Name Publication Service	N/A	%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet	-
0x1a892c61b80	379	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	PNPMEM	Microsoft Memory Module Driver	N/A	\SystemRoot\System32\drivers\pnpmem.sys	-
0x1a892c63bb0	378	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	pmem	Microsoft persistent memory disk driver	N/A	System32\drivers\pmem.sys	-
0x1a892c62fd0	377	464	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	PlugPlay	Plug and Play	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p	%SystemRoot%\system32\svchost.exe -k DcomLaunch -p	%SystemRoot%\system32\umpnpmgr.dll
0x1a892c60b30	376	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	pla	Performance Logs & Alerts	N/A	%SystemRoot%\System32\svchost.exe -k LocalServiceNoNetwork -p	%systemroot%\system32\pla.dll
0x1a892c60790	375	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	PktMon	Packet Monitor Driver	N/A	system32\drivers\PktMon.sys	-
0x1a892c629e0	374	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	PimIndexMaintenanceSvc	Contact Data	N/A	%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup	%SystemRoot%\System32\PimIndexMaintenance.dll
0x1a892c61610	373	1776	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	PhoneSvc	Phone Service	C:\WINDOWS\system32\svchost.exe -k LocalService -p	%SystemRoot%\system32\svchost.exe -k LocalService -p	%SystemRoot%\System32\PhoneService.dll
0x1a892c60050	372	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	PerfHost	Performance Counter DLL Host	N/A	%SystemRoot%\SysWow64\perfhost.exe	-
0x1a892c619b0	371	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	percsas3i	percsas3i	N/A	System32\drivers\percsas3i.sys	-
0x1a892c63ce0	370	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	percsas2i	percsas2i	N/A	System32\drivers\percsas2i.sys	-
0x1a892c641a0	369	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	perceptionsimulation	Windows Perception Simulation Service	N/A	%systemroot%\system32\PerceptionSimulation\PerceptionSimulationService.exe	-
0x1a892c610a0	368	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	PeerDistSvc	BranchCache	N/A	%SystemRoot%\System32\svchost.exe -k PeerDist	-
0x1a892c605c0	367	N/A	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	PEAUTH	PEAUTH	\Driver\PEAUTH	system32\drivers\peauth.sys	-
0x1a892c5ecd0	366	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	pdc	pdc	\Driver\pdc	system32\drivers\pdc.sys	-
0x1a892c5eba0	365	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	pcw	Performance Counters for Windows Driver	\Driver\pcw	System32\drivers\pcw.sys	-
0x1a892c5e350	364	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	pcmcia	pcmcia	N/A	System32\drivers\pcmcia.sys	-
0x1a892c5e940	363	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	pciide	pciide	N/A	System32\drivers\pciide.sys	-
0x1a892c5d8a0	362	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	pci	PCI Bus Driver	\Driver\pci	System32\drivers\pci.sys	-
0x1a892c5dc30	361	6864	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	PcaSvc	Program Compatibility Assistant Service	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p	%systemroot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p	%SystemRoot%\System32\pcasvc.dll
0x1a892c60ed0	360	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	partmgr	Partition driver	\Driver\partmgr	System32\drivers\partmgr.sys	-
0x1a892c5d770	359	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	Parport	Parallel port driver	N/A	\SystemRoot\System32\drivers\parport.sys	-
0x1a892c5e0f0	358	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	p2psvc	Peer Networking Grouping	N/A	%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet	%SystemRoot%\system32\p2psvc.dll
0x1a892c603f0	357	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	p2pimsvc	Peer Networking Identity Manager	N/A	%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet	%SystemRoot%\system32\pnrpsvc.dll
0x1a892c60220	356	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	ov8865	Camera Sensor OV8865	\Driver\ov8865	\SystemRoot\System32\drivers\ov8865.sys	-
0x1a892c5d640	355	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	ov7251	Camera Sensor OV7251	\Driver\ov7251	\SystemRoot\System32\drivers\ov7251.sys	-
0x1a892c5d510	354	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	ov5693	Camera Sensor OV5693	\Driver\ov5693	\SystemRoot\System32\drivers\ov5693.sys	-
0x1a892c5ee00	353	N/A	SERVICE_AUTO_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	OneSyncSvc	Sync Host	N/A	%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup	%SystemRoot%\System32\APHostService.dll
0x1a892c61440	352	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	nvstor	nvstor	N/A	System32\drivers\nvstor.sys	-
0x1a892c5e810	351	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	nvraid	nvraid	N/A	System32\drivers\nvraid.sys	-
0x1a892c5d9d0	350	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	nvdimm	Microsoft NVDIMM device driver	N/A	System32\drivers\nvdimm.sys	-
0x1a892c5dfc0	349	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	Null	Null	\Driver\Null	-	-
0x1a892c5dd60	348	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	Ntfs	Ntfs	\FileSystem\Ntfs	-	-
0x1a892c5d2b0	347	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	nsiproxy	NSI Proxy Service Driver	\Driver\nsiproxy	system32\drivers\nsiproxy.sys	-
0x1a892c5e220	346	1264	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	nsi	Network Store Interface Service	C:\WINDOWS\system32\svchost.exe -k LocalService -p	%systemroot%\system32\svchost.exe -k LocalService -p	%systemroot%\system32\nsisvc.dll
0x1a892c61270	345	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	npsvctrig	Named pipe service trigger provider	\Driver\npsvctrig	\SystemRoot\System32\drivers\npsvctrig.sys	-
0x1a892c5d3e0	344	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	Npfs	Npfs	\FileSystem\Npfs	-	-
0x1a892c5d180	343	2844	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	NlaSvc	Network Location Awareness	-	%SystemRoot%\System32\svchost.exe -k NetworkService -p	%SystemRoot%\System32\nlasvc.dll
0x1a892c56b80	342	7856	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	NgcSvc	Microsoft Passport	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p	%SystemRoot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p	%SystemRoot%\system32\ngcsvc.dll
0x1a892c55d00	341	7912	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	NgcCtnrSvc	Microsoft Passport Container	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p	%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p	%SystemRoot%\System32\NgcCtnrSvc.dll
0x1a892c569b0	340	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	netvsc	netvsc	N/A	\SystemRoot\System32\drivers\netvsc.sys	-
0x1a892c5ea70	339	N/A	SERVICE_DISABLED	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	NetTcpPortSharing	Net.Tcp Port Sharing Service	N/A	%systemroot%\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe	-
0x1a892c56610	338	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	NetSetupSvc	Network Setup Service	N/A	%SystemRoot%\System32\svchost.exe -k netsvcs -p	%SystemRoot%\System32\NetSetupSvc.dll
0x1a892c567e0	337	3132	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	netprofm	Network List Service	C:\WINDOWS\System32\svchost.exe -k LocalService -p	%SystemRoot%\System32\svchost.exe -k LocalService -p	%SystemRoot%\System32\netprofmsvc.dll
0x1a892c55790	336	27000	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	Netman	Network Connections	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p	%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p	%SystemRoot%\System32\netman.dll
0x1a892c55b30	335	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	Netlogon	Netlogon	N/A	%systemroot%\system32\lsass.exe	%SystemRoot%\system32\netlogon.dll
0x1a892c56440	334	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	NetBT	NetBT	\Driver\NetBT	System32\DRIVERS\netbt.sys	-
0x1a892c5d050	333	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	NetBIOS	NetBIOS Interface	\FileSystem\NetBIOS	system32\drivers\netbios.sys	-
0x1a892c5e480	332	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	NetAdapterCx	Network Adapter Wdf Class Extension Library	N/A	system32\drivers\NetAdapterCx.sys	-
0x1a892c5e6e0	331	N/A	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	Ndu	Windows Network Data Usage Monitoring Driver	\Driver\Ndu	system32\drivers\Ndu.sys	-
0x1a892c5db00	330	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	ndproxy	NDIS Proxy Driver	\Driver\ndproxy	System32\DRIVERS\NDProxy.sys	-
0x1a892c5de90	329	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	NDKPing	NDKPing Driver	N/A	system32\drivers\NDKPing.sys	-
0x1a892c5e5b0	328	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	ndiswanlegacy	Remote Access LEGACY NDIS WAN Driver	N/A	System32\DRIVERS\ndiswan.sys	-
0x1a892c59e00	327	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	NdisWan	Remote Access NDIS WAN Driver	\Driver\NdisWan	\SystemRoot\System32\drivers\ndiswan.sys	-
0x1a892c59cd0	326	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	NdisVirtualBus	Microsoft Virtual Network Adapter Enumerator	\Driver\NdisVirtualBus	\SystemRoot\System32\drivers\NdisVirtualBus.sys	-
0x1a892c59a70	325	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	Ndisuio	NDIS Usermode I/O Protocol	\Driver\Ndisuio	system32\drivers\ndisuio.sys	-
0x1a892c59940	324	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	NdisTapi	Remote Access NDIS TAPI Driver	\Driver\NdisTapi	System32\DRIVERS\ndistapi.sys	-
0x1a892c59810	323	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	NdisImPlatform	Microsoft Network Adapter Multiplexor Protocol	N/A	System32\drivers\NdisImPlatform.sys	-
0x1a892c596e0	322	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	NdisCap	Microsoft NDIS Capture	\Driver\NdisCap	System32\drivers\ndiscap.sys	-
0x1a892c595b0	321	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	NDIS	NDIS System Driver	\Driver\NDIS	system32\drivers\ndis.sys	-
0x1a892c582b0	320	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	ndfltr	NetworkDirect Service	N/A	\SystemRoot\System32\drivers\ndfltr.sys	-
0x1a892c59480	319	2120	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	NcdAutoSetup	Network Connected Devices Auto-Setup	C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p	%SystemRoot%\System32\svchost.exe -k LocalServiceNoNetwork -p	%SystemRoot%\System32\NcdAutoSetup.dll
0x1a892c555c0	318	1388	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	NcbService	Network Connection Broker	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p	%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p	%SystemRoot%\System32\ncbservice.dll
0x1a892c56270	317	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS	NcaSvc	Network Connectivity Assistant	N/A	%SystemRoot%\System32\svchost.exe -k NetSvcs -p	%SystemRoot%\System32\ncasvc.dll
0x1a892c553f0	316	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	NaturalAuthentication	Natural Authentication	N/A	%SystemRoot%\system32\svchost.exe -k netsvcs -p	%SystemRoot%\System32\NaturalAuth.dll
0x1a892c55050	315	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	NativeWifiP	NativeWiFi Filter	\Driver\NativeWifiP	system32\DRIVERS\nwifi.sys	-
0x1a892c590f0	314	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	mvumis	mvumis	N/A	System32\drivers\mvumis.sys	-
0x1a892c58770	313	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	Mup	Mup	\FileSystem\Mup	System32\Drivers\mup.sys	-
0x1a892c59ba0	312	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	MTConfig	Microsoft Input Configuration Driver	\Driver\MTConfig	\SystemRoot\System32\drivers\MTConfig.sys	-
0x1a892c58fc0	311	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	MSTEE	Microsoft Streaming Tee/Sink-to-Sink Converter	N/A	\SystemRoot\System32\drivers\MSTEE.sys	-
0x1a892c58d60	310	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	mssmbios	Microsoft System Management BIOS Driver	\Driver\mssmbios	\SystemRoot\System32\drivers\mssmbios.sys	-
0x1a892c58b00	309	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	MsSecFlt	Microsoft Security Events Component Minifilter	\Driver\MsSecFlt	system32\drivers\mssecflt.sys	-
0x1a892c58640	308	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	MsRPC	MsRPC	N/A	-	-
0x1a892c58e90	307	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	MsQuic	MsQuic	\Driver\MsQuic	system32\drivers\msquic.sys	-
0x1a892c588a0	306	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	MSPQM	Microsoft Streaming Quality Manager Proxy	N/A	\SystemRoot\System32\drivers\MSPQM.sys	-
0x1a892c59350	305	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	MSPCLOCK	Microsoft Streaming Clock Proxy	N/A	\SystemRoot\System32\drivers\MSPCLOCK.sys	-
0x1a892c589d0	304	N/A	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	MsLldp	Microsoft Link-Layer Discovery Protocol	\Driver\MsLldp	system32\drivers\mslldp.sys	-
0x1a892c58180	303	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	MSKSSRV	Microsoft Streaming Service Proxy	N/A	\SystemRoot\System32\drivers\MSKSSRV.sys	-
